2,1,103,353,50,126,1,-1,-1,-1
2,2,321,397,92,82,1,-1,-1,-1
2,3,557,323,33,120,1,-1,-1,-1
2,5,205,213,32,51,1,-1,-1,-1
2,7,305,221,38,101,1,-1,-1,-1
2,9,36,191,37,107,1,-1,-1,-1
2,12,539,119,42,97,1,-1,-1,-1
2,13,509,108,32,80,1,-1,-1,-1
2,15,350,224,42,101,1,-1,-1,-1
2,19,501,363,51,114,1,-1,-1,-1
3,1,114,351,51,128,1,-1,-1,-1
3,2,315,391,99,88,1,-1,-1,-1
3,3,551,363,31,109,1,-1,-1,-1
3,5,207,215,30,49,1,-1,-1,-1
3,7,305,242,40,106,1,-1,-1,-1
3,9,35,184,39,109,1,-1,-1,-1
3,12,541,125,39,91,1,-1,-1,-1
3,13,511,107,33,84,1,-1,-1,-1
3,15,358,231,42,101,1,-1,-1,-1
3,19,500,361,53,118,1,-1,-1,-1
3,21,577,112,23,68,1,-1,-1,-1
3,23,376,352,73,123,1,-1,-1,-1
3,25,62,171,38,101,1,-1,-1,-1
3,30,492,412,52,67,1,-1,-1,-1
3,31,144,52,24,58,1,-1,-1,-1
4,1,117,357,48,122,1,-1,-1,-1
4,2,309,385,106,94,1,-1,-1,-1
4,3,543,413,21,68,1,-1,-1,-1
4,5,207,214,31,49,1,-1,-1,-1
4,7,307,245,41,110,1,-1,-1,-1
4,9,35,178,39,110,1,-1,-1,-1
4,12,542,127,39,89,1,-1,-1,-1
4,13,524,109,30,79,1,-1,-1,-1
4,15,362,231,43,103,1,-1,-1,-1
4,19,499,359,55,122,1,-1,-1,-1
4,21,577,113,23,68,1,-1,-1,-1
4,23,373,346,76,128,1,-1,-1,-1
4,25,80,154,37,98,1,-1,-1,-1
4,30,489,410,55,69,1,-1,-1,-1
4,31,134,50,22,54,1,-1,-1,-1
4,37,429,315,50,118,1,-1,-1,-1
5,1,115,373,43,106,1,-1,-1,-1
5,2,303,379,113,100,1,-1,-1,-1
5,3,540,444,16,51,1,-1,-1,-1
5,5,207,214,32,49,1,-1,-1,-1
5,7,311,250,41,109,1,-1,-1,-1
5,9,34,171,40,112,1,-1,-1,-1
5,12,542,127,39,89,1,-1,-1,-1
5,13,528,109,31,79,1,-1,-1,-1
5,15,346,234,45,110,1,-1,-1,-1
5,19,498,357,56,126,1,-1,-1,-1
5,21,582,129,18,52,1,-1,-1,-1
5,23,370,340,80,133,1,-1,-1,-1
5,25,106,134,35,93,1,-1,-1,-1
5,30,487,407,56,72,1,-1,-1,-1
5,31,135,48,19,46,1,-1,-1,-1
5,37,429,310,47,113,1,-1,-1,-1
5,42,113,45,25,72,1,-1,-1,-1
5,46,463,44,16,51,1,-1,-1,-1
5,47,188,124,23,71,1,-1,-1,-1
5,48,444,44,18,49,1,-1,-1,-1
6,1,117,383,39,96,1,-1,-1,-1
6,2,297,373,120,105,1,-1,-1,-1
6,3,536,475,11,34,1,-1,-1,-1
6,5,207,214,32,49,1,-1,-1,-1
